topic,review_text
Pricing Feedback,"too many additional charges, hopeless!"
General Feedback,very quick service and we can get everything very easily anytime 
General Feedback,love it...i can't go out but now i can get everything just to our door step
Food Quality,"this used to be a good app but since last month they are sending sub standard products - missing expiry dates, bad product quality, rotten or damaged items. their customer service is also very slow and time wasting. uninstalling this now."
General Feedback,very satisfying and very happy with this amazing grocery app
Pricing Feedback,no hidden charges compare to zepto
Service Feedback,poor experience...its quite likely blinkit will cheat
General Feedback,this app is a life saver
General Feedback,best app in the playstore
Delivery Issues,"on time delivery, very less complaints, only issue , ie coupons are all useless."
Payment Issues,"bloody frauds, their delivery executive took 3000 rs from my cafe and these people are not at all supporting. its been 2 month now all they are doing is sending mail that your issue will be resolved in 24 hrs. but their 24 hrs is not completing. they have no intention to solve the case. neither they are telling me information of their delivery executive so that i can handle on my own. this is mafia, do not trust them."
General Feedback,it's very helpful i love it
Food Quality,delivering product expired and not even taking the issue in support.
General Feedback,it's new but too much better than swiggy
General Feedback,yah mere time ko bahut bachata hai emergency ke liye it is very best guys don't go to z because blinkit is there
General Feedback,wonderful app really it helps a lot regarding groceries and snacks
General Improvement Requests,there is always a chance of improvement.
General Improvement Requests,increase your distance for delivery
General Feedback,timely delivery thank you blinkit
General Feedback,this app are very good 
Delivery Issues,very bad order never come at my house
Payment Issues,services are good but we prefer cash on delivery some times in some situations
Food Quality,this app is good but most of the time things not available
Service Feedback,"delivery boy denied to give product leave at door,"
General Feedback,it has all things best regards 
Pricing Feedback,"i like their fastest delivery. some items are not available, but it's ok. one thing i didn't like is, maximum items are being sold the same as the mrp, discount is rare!"
Payment Issues,why cash on delivery cod is not available on this app not fair make sure everytime it's available customer having so much problem everyone don't have this online things please work on this...
General Feedback,useful app for quick procurement when it's urgent
General Feedback,"very good and fast service provided by blinkit inc. so impressed with the app interface, which is really easy and handy to use. best experience was provided by the blinkit just loved it."
Delivery Issues,delivery location bado bhai starting sa try kar raha hu aaj tak hamra yaha delivery nhi ho paa rahi hai
General Feedback,real game changer. just hope they keep the local shops alive in the long run instead of supplying everything from their stores.
