topic,review_text
Payment Issues,"i selected some items then selected a wrong address by accident (which i have never even saved and never even lived in that location, idk how swiggy saved it in my account). i tried cancelling the order within a minute (which is a very short time), but it asked me to pay 500 rs. i tried changing address, but swiggy would not let me change saying the driver has already been notified of the old address. i called the driver, who called customer support who then cancelled my order and charged 532 rs"
Compliments,best app for food delivery
Pricing Issues,why that much gst for just 200 metre order
Delivery Issues,"don't buy any product swiggy , customer care team , send wrong item and not responding , useless switch other option"
Pricing Issues,not at all good app change the price according to them and it is too high then restaurant actual price. before delivery it will show free delivery and after it will charge delivery charge at the time of delivery.
Compliments,it useful for our traveling good experience 
Compliments,i prefer swiggy..... because it is very pocket friendly app
Payment Issues,ghatya app ha . order cancel hone ke bad vhi pesa loot lete ha .
Complaints,worst after sale service. i say worst.
Payment Issues,my previous order amout not received
Delivery Issues,i had wrong order delivered to me that also stale food delivered. instead of actual refund swiggy decided to give me a coupon for that amount. i asked to refund me to bank but they are saying coupon already issued so can't provide refund. what a pathetic customer care.
Delivery Issues,"the delivery service used to be good. but now orders take about 1-2 hours to be delivered. they club different orders, and by the time it reaches you, the food will be cold. there are better alternates to swiggy."
Delivery Issues,taken long time for delivery
Delivery Issues,most of orders got delayed so much
Delivery Issues,delivery time has to be properly maintained no late arrival is accepted food has to be given free
Pricing Issues,bekar hai bhai 90 ki maggi oerder karny par 159 payment dikha rha hai na koi detail ki kis chiz ka pesa kat rhy hai maggi jayada sy jayda 20 ke packet sy hi banega
Compliments,the best for discount and food !!!
Delivery Issues,very late delivery r u collect multiple order one time very bad policy 
Complaints,can't recommend fake app doesn't shows the review and show fake rating
Delivery Issues,they take orders but deliver wrong item always t
Payment Issues,not giving refund or replacement for missing item ordered from instamart.
App Performance,"i can't place order there's a glitch ""err try again"""
Complaints,no option of customer call to solve the problem nd swiggy will not give any solution of problems to the customer
Compliments,very good app for faster delivery and trusted
Complaints,agar door ka order hota hai to delivery boy ki personal call karke order cancel kar dete hain
Payment Issues,cash on delivery is not available  bad
Delivery Issues,delivery timing is worst among all your peers
Delivery Issues,"order not picked on time, order amount also did not return after cancelation."
Pricing Issues,delivery charges are very high
Pricing Issues,let delivery hota hai aur charge bhi jyda leta hai
Compliments,this is best app for me and my family
Compliments,great offers have been experienced
Delivery Issues,"time is showing before the order, but there is no time boundation for delivery of the order. no penalty for late delivery. if the order is more delayed, no cancelation facilities"
Complaints,experienced issues for the first time and their team not able to resolve. uninstalled.
Food Quality,swiggy is fraud company..i recently ordered one meat in swiggy..meat is smelling very bad.i complained in swiggy customer care.they said only apologies.i dont ask apology.i asked refund.they said simply not eligible.dont order in this swiggy.zomato customer policy is very good.zomato is maintained customer care number.swiggy is not maintaining customer care number.they said simply send mail.i have doubt.for suppose customer is illustrated.what they can do?. already iam preparing to file case aga
Compliments,thanks for helping costomer get food home delivery
Compliments,best food delivery in on time
Pricing Issues,gst and charges is very high
Food Quality,"i have been a loyal customer since it's launch in delhi and patiala, but the quality of food served through your app has dropped drastically especially the ones you serve on offers."
