topic,review_text
Delivery Feedback,good. delivery time is perfect.
App Performance,i couldn't open this app . when i was download this app when i was download this app this app was crushed and back to my home screen. after i uninstalled this app and retry to open this app still it's not to work
App Feedback,great platform to order food
Customer Service Feedback,wrost experience.. koi solution nhi dete complain kro wo yeh close kr dete h apni side se bina kisi solution ke.
Customer Service Feedback,excellent services.great offers.honest delivery partners.
Delivery Issues,bad experience regarding zomato. i place my order for panchkula but it delivered to the other location. i have lost my 572rs.
App Feedback,really good thats all i have to say
Pricing Feedback,good food delivery app. value for money.
Customer Service Feedback,zomato team doesn't value customer feedback.
Payment Feedback,didn't get my refund once tho
Delivery Issues,worst experience no proper assistance delivered wrong order raised a complaint need 72 hours for resolution no proper assistance and delivery executive nicely saying raise a complaint and get refund isn't it shameful
Delivery Issues,"no transparency when it comes to grouping orders, i got to know my order was grouped after calling the delivery personnel whose location was way too off"
Customer Service Feedback,great app and resolve issues quickly
App Feedback,easy and fast + best food service provider.
Customer Service Feedback,good offers and nice customer service
Payment Feedback,i love how they are and they always have a great service but i would say they don't have change i would suggest that you give about 1000 rupees as change and at the end of the day you take it back
Delivery Issues,didn't deliver the order and then zomato is calling me and saying that i have cancelled the order. i even opted for continuing without cancellation so now it shows its delivered. guys if you are hungry and need some food please ask but don't be fraud. if you could have asked me i would have fed you. my mom is ill and i am out because of office work and your guys are calling me again and again pressuring to accept that i have cancelled the order. on top of it putting cancellation fees on me.
App Feedback,goo service and awesome food
Feature Requests,"convenient, but could have more options"
Pricing Feedback,useless coupons .. discount less...too much delivery charges
Pricing Feedback,good i have ordered first time they hey give me almost 100rs off on 200rs order i appreciate it and good job to helping people
Customer Service Feedback,ek number ki bakwas company hai
Pricing Feedback,"lovely app, great food , but costly"
General Feedback,nice app for food delivery
Delivery Issues,order on time but sometimes dismiss the address of the customer
Customer Service Feedback,"do not use this, i am a gold member and i can tell you how terrible it feels to be responded by an ai when your child is hungry"
Delivery Issues,please any body don't use this app because i ordered food at 8:50 pm the resturant is around 1.5km to my location when i ordered the arrival time shows 9:20 pm i received my ordered at 10:05 pm because there are not assigned any delivery partner please if have any emergency go to another app please don't use this app this is worst app with comparison of other food delivery apps
Payment Feedback,zomato takes my money from me and they said they refund me but they don't refund my money.i cry alot.and they also cancel my membership
General Feedback,super delevery & eazy to any orders
Food Quality,"delicious and quality foods, delivered in a decent time "
General Feedback,i personally like zomato more than swiggy. orders are delivered at a decent time. packaging is 10/10.
Food Quality,worst delivery app. no one is here to assist you if your order is stale or anything wrong found in your order. don't ever order from zomato. worst worst worst app. frustrating.
General Feedback,zomato is a great option for enjoying food and immediate delivery and with offers.
Delivery Issues,"it's been an hour order has not come. calling delivery partner, he is not answering. reaching out to support but only ai is answering. can't cancel my order because 100% cancellation fee is applied. zomato is getting worst day by day."
Customer Service Feedback,"a terrible support system developed by zomato. ordered a food and it was delivered double of eta.. social media team never responds..the support bot is so stupid that there is zero support.. request others to be careful from zomato w.r.t support... uninstalled the app to save my time and have a peace of mind. swiggy has human touch in support but zomato never. i even told the bot that there is some issue with delivery partners vehicle.. yet, the bot is giving a standard reply."
Pricing Feedback,items are priced more than the actual price from restaurant menu. bad delivery experience.... mostly delayed deliveries and by then food goes cold.
General Feedback,good service with great offers
General Feedback,some times good and offer
Pricing Feedback,compare to. other apps less prices over all good food proovide
General Feedback,clean menu options. for pure veg it showed only pure veg options. and better discounts too 
General Feedback,ye company bahut aage jayegi
Delivery Issues,one of the irritating food delivery app if you paid the food amount it'll take more than 45 min and assign multiple order to the delivery boys one of the idiots are sitting at another side and in against of such frustration you will get only ai reply nobody is on another side for replies never recommend this idiot app
General Feedback,i have been using zomato for a long time and it has been very much rewarding for me as it has given me a lot of discounts and coupons not only from zomato. also other platforms have provided me many zomato coupons delivery is also quite fine plus even if once they had made a mistake they have compensated me a 90% off coupon.so for me it is very good when it comes to online food delivery services
General Feedback,as for now it is good
Customer Service Feedback,swiggy don't treat as costumer as god like you
Delivery Issues,once i order chicken biriyani and they gave beef biriyani. iam allergic to beef and zomato gave no refund and took no action. and today it is showing like order deliverd but i didn't got the item do not buy anything from zomato. just go with swiggy
Customer Service Feedback,worst customer support. got incorrect item. got less than one third of value. would give 0 star if possible.
General Feedback,easy to access user friendly and on time delivery
General Feedback,every foodie needs only zomato especially i got golden membership in just 40 rs soo satisfying 
Customer Service Feedback,worst app. no customer support
Delivery Partner Feedback,you might be a good for providing user better experience for variety of food and restaurant but you guys are the worst for your delivery partner 🥺
General Feedback,brillent app for food delivery 
Delivery Issues,almost every order for me is delayed nowadays.i have had orders from 1km away taking more than 20 minutes to get delivered after being picked up.
Delivery Issues,"i selected the cash on delivery option for payment.when only 7 min left for my order, i got a call that our delivery boy was late and we apologize for this, we are cancelling your order , please place order again.i did..now it showed 60 min for the order to come and my last order was not getting cancelled because of many attempts. the delivery boy reached and we rejected as it was already too late. i got a call that if you don't receive the order we will close your cod option.really upset!"
Payment Feedback,i ordered food so frequently through these app but this time i ordered but within 5 minutes i realised that i choose different address so i cancel the order within 5 mins ..but total money zomato take it as a compensation. why and what's the rules?total money is a compensation.money is not important but that can't be ruled.. i uninstalling the app and never use these app..
General Feedback,i can save money with this app so much
Feature Requests,super app please increase my coupons.
Food Quality,when spoilt food was delivered by restaurant. zomato did nothing about it when reached out for support. pathetic experience
General Feedback,"very helpful in tensed times, especially late at night. thank you zomato 🫂"
General Feedback,good service and delivery is too fast 
Customer Service Feedback,this is nota at all helpful i have put in the wrong request and there is nobody to help me out
Food Quality,very good food in lucknow
Food Quality,thise food is very bakwas
Customer Service Feedback,help and support section is terrible. no resolutions these days. make your own food. don't rely on these apps for your cravings. overpriced and pathetic service provider.
App Feedback,it's a great day for me the apps gives mew very so coupons it's a good app good  behaviour good delivery  at time ha
Payment Feedback,suaro pese jldi refund kara karo
Pricing Feedback,service good but charges is very high
App Feedback,"the redeem codes were handy,must use.suggestion:add more codes."
Food Quality,the food delivered to me was stale and smelling really bad. i tried to contact support also. they said that this is subjective. how food being stale and smelly can be subjective. it was really bad never going to order from zomato again.
App Feedback,good app for foodie just love it🤪
Food Quality,good recomend all resturent to completely wrap food parcel
Delivery Issues,"very good, fast delivery and quick response for wrong delivery."
Delivery Issues,"service is pathetic, they have failed at delivering dinner multiple times late at night leaving the customer at their own sake."
Delivery Issues,"good but there is no delivery in my area, pleace zomato do something. "
App Performance,please correct your app i have a very bad experience
Pricing Feedback,"very budget friendly , fast delivery, very polite staff everything was very good you have to install this app and delete other dilevery apps ."
Food Quality,great experience on this app
Delivery Issues,"it is nice app, delivery experience was good"
Customer Service Feedback,dhokha dhadi karta hai zomato mere 468 hadap liye main consumer court jaunga vahan per inki shikayat karunga mujhe mere paise wapas do inka contact number bhi nahin hota hai chat mein baat karte hain kuchh samajh mein nahin aata
Food Quality,best service and the coupon are also good
Delivery Partner Feedback,"i am a frequent user of zomato but this is the first experience of such bad service. my order was delayed,we bared with it as it was raining outside, however the order was delivered in an awfully damaged packet,whereby the items were clearly seen while receiving the order. i asked the delivery partner is this the way the order is delivered,he replied to me that ,"" yes,the restaurant has given it in this light packaging, that's the reason it's open.pathetic service 0 rating."
Delivery Issues,not good in my area. literally i have to wait 1.5 hours for a single order to be delivered. food was absolutely cold. pure waste of money. i will suggest that you give the other apps a try. pathetic service. very disappointed.
Customer Service Feedback,"zomato app i worrest service nowadays, i ordered food 1.30 hour but i didn't get food. the delevery partner didn't respond and support agent also didn't connect in this app. worrest service i ever seen this application."
Food Quality,makes our life easy sometimes
Delivery Partner Feedback,pankaj is very good boy.inspite of raining he delivered on time.
Customer Service Feedback,i have deleted my previous review rating for zomato. this application and zomato have a bad service. going to stop using zomato and blinkit
Customer Service Feedback,"poor customer experience, zero customer support, order not delivered "
Food Quality,super easy and convenient to use
Food Quality,zomato delivers tasty food fast with great offers always a satisfying experience! 
Customer Service Feedback,"providing false information missleading customer not proper response i ordered food from one place they provided from other cheap restaurants , when i was escalating no customer executive was responding harshly and disconnected the call"
General Feedback,let me use after a year this app is extremely good
Customer Service Feedback,"ugh, the customer service was the absolute worst. so frustrating!"
Pricing Feedback,day by day prices are increasing
Delivery Issues,"they're delaying the delivery oftenly, its ungrateful to wait for your paid food for more than the estimated time. improper management"
